doy,rootyear1,rootyear2,rootyear3,leafyear1,leafyear2,leafyear3,stemyear1,stemyear2,stemyear3,wholeyear1,wholeyear2,wholeyear3
45,1.29991,4.55586,0,0.264706,0.529412,0.705882,1.12601,6.3807,0,2.690626,11.465972,0
65,0.931891,6.47646,9.73156,0.264706,0.705882,1.23529,0.75067,4.12869,8.25737,1.947267,11.311032,19.22422
86,0.751408,4.88735,8.58309,0.617647,1.5,3.44118,1.50134,3.75335,7.88204,2.870395,10.1407,19.90631
106,0.482499,2.15469,7.69862,0.617647,2.91176,8.64706,1.12601,3.75335,11.6354,2.226156,8.8198,27.98108
126,0.56708,3.20683,7.25478,0.970588,4.14706,7.58824,0.75067,6.3807,10.8847,2.288338,13.73459,25.72772
147,0.737097,2.58486,7.60122,1.58824,5.20588,10.5882,1.50134,9.38338,18.7668,3.826677,17.17412,36.95622
167,0.468402,3.54858,12.2602,1.14706,6.52941,18.3529,1.12601,12.3861,32.6542,2.741472,22.46409,63.2673
188,1.51926,6.18256,16.4791,2.29412,8.02941,20.2059,4.50402,20.2681,52.1716,8.3174,34.48007,88.8566
208,0.368869,7.23342,16.0329,0.176471,6.08824,12.2647,0.75067,15.7641,36.0322,1.29601,29.08576,64.3298
228,1.59744,8.19671,23.3325,0.882353,8.38235,22.0588,3.37802,27.7748,65.6836,5.857813,44.35386,111.0749
249,5.72911,10.2171,34.0641,2.47059,7.85294,26.3824,12.0107,26.2735,82.5737,20.2104,44.34354,143.0202
269,2.11795,5.90148,17.9569,0.794118,3.52941,15.9706,6.75603,32.2788,56.6756,9.668098,41.70969,90.6031
289,1.93726,6.60141,21.9128,1.05882,2.82353,14.4706,7.5067,21.7694,73.941,10.50278,31.19434,110.3244
310,2.54641,7.29857,16.9782,0.176471,1.23529,3.61765,7.88204,25.5228,49.1689,10.604921,34.05666,69.76475
330,1.65938,5.00397,20.3153,0,0.352941,0.617647,6.75603,18.0161,54.0483,8.41541,23.373011,74.981247
